respondent_id,brand_tribalism,brand_love
1,3.02,2.68
2,3.07,3.65
3,4.14,4.13
4,4.61,4.63
5,4.04,3.63
6,4.7,4.66
7,4.46,4.47
8,2.59,2.43
9,3.49,3.33
10,4.12,3.43
11,2.32,2.44
12,2.53,2.31
13,4.91,4.32
14,4.28,4.09
15,4.71,3.97
16,4.63,4.63
17,3.4,3.4
18,4.82,3.9
19,2.64,3.22
20,4.46,4.32
21,3.82,3.43
22,3.62,3.6
23,2.94,2.64
24,2.67,2.65
25,3.33,3.82
26,4.83,4.01
27,2.86,3.44
28,3.57,3.76
29,3.23,3.52
30,4.73,4.65
31,4.87,3.94
32,3.11,2.96
33,2.16,2.06
34,3.88,4.2
35,4.94,4.45
36,3.08,2.67
37,2.41,2.86
38,2.05,2.51
39,2.13,2.68
40,4.16,3.41
41,2.7,2.53
42,3.63,3.68
43,4.63,4.27
44,2.37,3.11
45,2.87,3.39
46,3.82,3.75
47,4.81,4.4
48,4.43,4.28
49,4.37,3.7
50,2.42,2.66
51,2.19,2.56
52,2.94,2.69
53,3.03,3.46
54,2.6,2.51
55,2.15,2.07
56,4.91,3.97
57,4.62,3.77
58,4.99,4.36
59,4.05,3.62
60,2.3,2.9
61,3.34,3.01
62,2.65,2.74
63,4.45,4.19
64,2.39,2.57
65,2.47,2.34
66,2.66,2.8
67,2.41,3.18
68,2.69,2.6
69,4.55,3.95
70,4.05,4.19
71,3.27,3.29
72,3.44,3.11
73,2.32,2.69
74,4.69,4.57
75,4.04,3.84
76,3.61,3.55
77,4.6,3.78
78,3.0,3.0
79,4.0,3.99
80,4.28,4.01
81,2.37,2.89
82,3.43,2.93
83,3.02,2.78
84,2.52,2.55
85,4.0,3.73
86,2.44,2.61
87,3.49,3.28
88,3.4,3.68
89,4.24,3.95
90,2.38,2.4
91,3.08,3.12
92,4.67,4.26
93,4.74,4.68
94,3.0,3.35
95,2.7,3.22
96,3.84,3.22
97,4.38,4.4
98,4.64,4.12
99,4.38,3.73
100,2.61,2.55
101,2.84,3.02
102,4.15,4.29
103,3.66,3.54
104,2.75,3.17
105,3.82,3.55
106,2.3,2.54
107,3.19,3.03
108,3.37,3.47
109,4.54,4.18
110,4.42,3.94
111,4.47,4.04
112,3.74,3.77
113,3.35,3.15
114,3.59,3.51
115,4.85,4.47
116,4.6,3.8
117,4.02,3.55
118,3.22,3.09
119,4.18,4.26
120,3.11,2.92
121,2.88,2.86
122,3.99,3.65
123,4.95,4.51
124,4.93,4.55
125,3.35,3.31
126,3.53,3.83
127,3.8,3.69
128,4.62,4.02
129,2.66,2.98
130,2.68,3.31
131,4.88,4.84
132,2.06,2.69
133,3.88,3.53
134,2.56,2.65
135,2.23,2.47
136,2.27,3.07
137,4.89,4.47
138,2.03,2.31
139,3.25,3.01
140,3.82,4.14
141,3.8,4.13
142,3.68,3.69
143,2.3,2.73
144,4.11,4.16
145,4.26,3.76
146,3.11,3.44
147,2.82,3.38
148,2.01,2.39
149,4.72,3.9
150,4.0,3.8
